Date,Time,Wind_Speed(m/s)
2024-03-09,14:00:00,21.14
2024-03-09,15:00:00,11.93
2024-03-09,16:00:00,14.29
2024-03-09,17:00:00,18.0
2024-03-09,18:00:00,5.96
2024-03-09,19:00:00,23.98
2024-03-09,20:00:00,22.73
2024-03-09,21:00:00,10.22
2024-03-09,22:00:00,5.31
2024-03-09,23:00:00,23.67
2024-03-09,00:00:00,15.02
2024-03-09,01:00:00,15.79
2024-03-09,02:00:00,18.68
2024-03-09,03:00:00,17.32
2024-03-09,04:00:00,23.88
2024-03-09,05:00:00,23.89
2024-03-09,06:00:00,22.34
2024-03-09,07:00:00,17.73
2024-03-09,08:00:00,21.02
2024-03-09,09:00:00,18.54
2024-03-09,10:00:00,16.47
2024-03-09,11:00:00,7.57
2024-03-09,12:00:00,21.22
2024-03-09,13:00:00,21.41
2024-03-09,14:00:00,17.52
2024-03-09,15:00:00,21.41
2024-03-09,16:00:00,18.03
2024-03-09,17:00:00,9.13
2024-03-09,18:00:00,10.48
2024-03-09,19:00:00,9.29
2024-03-09,20:00:00,12.55
2024-03-09,21:00:00,5.78
2024-03-09,22:00:00,17.37
2024-03-09,23:00:00,11.73
2024-03-09,00:00:00,18.11
2024-03-09,01:00:00,12.71
2024-03-09,02:00:00,18.63
2024-03-09,03:00:00,11.81
2024-03-10,00:00:00,10.21
2024-03-10,01:00:00,14.92
2024-03-10,02:00:00,18.86
2024-03-10,03:00:00,11.97
2024-03-10,04:00:00,23.73
2024-03-10,05:00:00,5.78
2024-03-10,06:00:00,13.36
2024-03-10,07:00:00,24.35
2024-03-10,08:00:00,15.96
2024-03-10,09:00:00,13.47
2024-03-10,10:00:00,16.37
2024-03-10,11:00:00,16.52
2024-03-10,12:00:00,19.63
2024-03-10,13:00:00,7.55
2024-03-10,14:00:00,10.0
2024-03-10,15:00:00,16.61
2024-03-10,16:00:00,22.34
2024-03-10,17:00:00,16.24
2024-03-10,18:00:00,9.77
2024-03-10,19:00:00,18.6
2024-03-10,20:00:00,19.8
2024-03-10,21:00:00,9.76
2024-03-10,22:00:00,12.55
2024-03-10,23:00:00,15.69
2024-03-10,00:00:00,14.93
2024-03-10,01:00:00,12.79
2024-03-10,02:00:00,10.95
2024-03-10,03:00:00,7.0
2024-03-10,04:00:00,6.07
2024-03-10,05:00:00,24.17
2024-03-10,06:00:00,21.94
2024-03-10,07:00:00,12.1
2024-03-10,08:00:00,24.14
2024-03-10,09:00:00,18.54
2024-03-10,10:00:00,14.65
2024-03-10,11:00:00,14.86
2024-03-10,12:00:00,6.67
2024-03-10,13:00:00,6.83
2024-03-10,14:00:00,17.05
2024-03-10,15:00:00,16.07
2024-03-10,16:00:00,9.25
2024-03-10,17:00:00,23.92
2024-03-10,18:00:00,20.63
2024-03-10,19:00:00,7.27
2024-03-10,20:00:00,23.62
2024-03-10,21:00:00,24.48
2024-03-10,22:00:00,24.92
2024-03-10,23:00:00,6.12
2024-03-10,00:00:00,19.74
2024-03-10,01:00:00,15.92
2024-03-10,02:00:00,19.12
2024-03-10,03:00:00,24.37
2024-03-10,04:00:00,18.76
2024-03-10,05:00:00,21.74
2024-03-10,06:00:00,22.34
2024-03-10,07:00:00,21.77
2024-03-10,08:00:00,13.52
2024-03-10,09:00:00,9.45
2024-03-10,10:00:00,12.93
2024-03-10,11:00:00,22.84
2024-03-10,12:00:00,7.93
2024-03-10,13:00:00,15.27
2024-03-10,14:00:00,9.66
2024-03-10,15:00:00,16.63
2024-03-10,16:00:00,22.26
2024-03-10,17:00:00,22.61
2024-03-10,18:00:00,9.73
2024-03-10,19:00:00,23.15
2024-03-10,20:00:00,16.84
2024-03-10,21:00:00,12.0
2024-03-10,22:00:00,19.16
2024-03-10,23:00:00,14.63
2024-03-10,00:00:00,12.56
2024-03-10,01:00:00,19.1
2024-03-10,02:00:00,9.97
2024-03-10,03:00:00,11.61
2024-03-10,04:00:00,13.69
2024-03-10,05:00:00,10.07
2024-03-10,06:00:00,13.1
2024-03-10,07:00:00,16.43
2024-03-10,08:00:00,19.82
2024-03-10,09:00:00,20.34
2024-03-10,10:00:00,21.46
2024-03-10,11:00:00,19.88
2024-03-10,12:00:00,18.62
2024-03-10,13:00:00,9.75
2024-03-10,14:00:00,13.0
2024-03-10,15:00:00,14.55
2024-03-10,16:00:00,6.66
2024-03-10,17:00:00,15.57
2024-03-10,18:00:00,13.73
2024-03-10,19:00:00,21.04
2024-03-10,20:00:00,24.56
2024-03-10,21:00:00,16.12
2024-03-10,22:00:00,11.45
2024-03-10,23:00:00,5.87
2024-03-10,00:00:00,23.49
2024-03-10,01:00:00,23.38
2024-03-10,02:00:00,10.06
2024-03-10,03:00:00,18.91
2024-03-11,00:00:00,6.51
2024-03-11,01:00:00,8.32
2024-03-11,02:00:00,9.34
2024-03-11,03:00:00,10.89
2024-03-11,04:00:00,24.92
2024-03-11,05:00:00,18.94
2024-03-11,06:00:00,12.68
2024-03-11,07:00:00,19.74
2024-03-11,08:00:00,23.31
2024-03-11,09:00:00,24.17
2024-03-11,10:00:00,6.16
2024-03-11,11:00:00,12.89
2024-03-11,12:00:00,7.14
2024-03-11,13:00:00,11.71
2024-03-11,14:00:00,8.39
2024-03-11,15:00:00,17.94
2024-03-11,16:00:00,12.77
2024-03-11,17:00:00,9.59
2024-03-11,18:00:00,10.32
2024-03-11,19:00:00,12.21
2024-03-11,20:00:00,10.2
2024-03-11,21:00:00,14.06
2024-03-11,22:00:00,5.65
2024-03-11,23:00:00,10.6
2024-03-11,00:00:00,13.22
2024-03-11,01:00:00,17.06
2024-03-11,02:00:00,10.42
2024-03-11,03:00:00,7.66
2024-03-11,04:00:00,6.52
2024-03-11,05:00:00,23.81
2024-03-11,06:00:00,13.33
2024-03-11,07:00:00,16.62
2024-03-11,08:00:00,23.38
2024-03-11,09:00:00,6.65
2024-03-11,10:00:00,22.53
2024-03-11,11:00:00,16.03
2024-03-11,12:00:00,8.3
2024-03-11,13:00:00,13.23
2024-03-11,14:00:00,20.55
2024-03-11,15:00:00,14.61
2024-03-11,16:00:00,24.71
2024-03-11,17:00:00,12.53
2024-03-11,18:00:00,19.99
2024-03-11,19:00:00,12.86
2024-03-11,20:00:00,21.58
2024-03-11,21:00:00,16.38
2024-03-11,22:00:00,6.27
2024-03-11,23:00:00,5.74
2024-03-11,00:00:00,7.68
2024-03-11,01:00:00,5.27
2024-03-11,02:00:00,6.51
2024-03-11,03:00:00,18.83
2024-03-11,04:00:00,15.69
2024-03-11,05:00:00,20.0
2024-03-11,06:00:00,23.26
2024-03-11,07:00:00,16.7
2024-03-11,08:00:00,19.52
2024-03-11,09:00:00,20.14
2024-03-11,10:00:00,12.56
2024-03-11,11:00:00,9.82
2024-03-11,12:00:00,9.1
2024-03-11,13:00:00,10.03
2024-03-11,14:00:00,10.49
2024-03-11,15:00:00,9.14
2024-03-11,16:00:00,22.56
2024-03-11,17:00:00,20.14
2024-03-11,18:00:00,5.94
2024-03-11,19:00:00,10.37
2024-03-11,20:00:00,5.44
2024-03-11,21:00:00,14.96
2024-03-11,22:00:00,14.52
2024-03-11,23:00:00,21.63
2024-03-11,00:00:00,11.16
2024-03-11,01:00:00,21.33
2024-03-11,02:00:00,24.36
2024-03-11,03:00:00,6.77
2024-03-11,04:00:00,20.84
2024-03-11,05:00:00,16.8
2024-03-11,06:00:00,14.6
2024-03-11,07:00:00,13.41
2024-03-11,08:00:00,20.69
2024-03-11,09:00:00,17.79
2024-03-11,10:00:00,21.1
2024-03-11,11:00:00,23.06
2024-03-11,12:00:00,17.35
2024-03-11,13:00:00,24.61
2024-03-11,14:00:00,17.16
2024-03-11,15:00:00,17.73
2024-03-11,16:00:00,16.1
2024-03-11,17:00:00,6.82
2024-03-11,18:00:00,19.53
2024-03-11,19:00:00,15.95
2024-03-11,20:00:00,14.02
2024-03-11,21:00:00,23.21
2024-03-11,22:00:00,10.96
2024-03-11,23:00:00,15.47
2024-03-11,00:00:00,18.95
2024-03-11,01:00:00,20.93
2024-03-11,02:00:00,14.19
2024-03-11,03:00:00,21.84
2024-03-12,00:00:00,20.38
2024-03-12,01:00:00,6.32
2024-03-12,02:00:00,5.92
2024-03-12,03:00:00,17.42
2024-03-12,04:00:00,11.95
2024-03-12,05:00:00,9.18
2024-03-12,06:00:00,16.59
2024-03-12,07:00:00,11.83
2024-03-12,08:00:00,15.75
2024-03-12,09:00:00,14.2
2024-03-12,10:00:00,16.7
2024-03-12,11:00:00,13.01
2024-03-12,12:00:00,18.95
2024-03-12,13:00:00,8.6
2024-03-12,14:00:00,18.93
2024-03-12,15:00:00,13.23
2024-03-12,16:00:00,22.49
2024-03-12,17:00:00,15.3
2024-03-12,18:00:00,24.46
2024-03-12,19:00:00,17.04
2024-03-12,20:00:00,9.48
2024-03-12,21:00:00,21.44
2024-03-12,22:00:00,11.9
2024-03-12,23:00:00,11.95
2024-03-12,00:00:00,5.64
2024-03-12,01:00:00,15.97
2024-03-12,02:00:00,15.69
2024-03-12,03:00:00,12.12
2024-03-12,04:00:00,22.88
2024-03-12,05:00:00,7.57
2024-03-12,06:00:00,11.6
2024-03-12,07:00:00,11.43
2024-03-12,08:00:00,6.85
2024-03-12,09:00:00,14.62
2024-03-12,10:00:00,18.76
2024-03-12,11:00:00,15.23
2024-03-12,12:00:00,8.14
2024-03-12,13:00:00,12.55
2024-03-12,14:00:00,5.05
2024-03-12,15:00:00,22.37
2024-03-12,16:00:00,6.69
2024-03-12,17:00:00,16.95
2024-03-12,18:00:00,24.73
2024-03-12,19:00:00,15.73
2024-03-12,20:00:00,23.48
2024-03-12,21:00:00,9.72
2024-03-12,22:00:00,20.2
2024-03-12,23:00:00,15.63
2024-03-12,00:00:00,19.41
2024-03-12,01:00:00,6.25
2024-03-12,02:00:00,7.95
2024-03-12,03:00:00,7.66
2024-03-12,04:00:00,18.74
2024-03-12,05:00:00,21.89
2024-03-12,06:00:00,19.99
2024-03-12,07:00:00,5.61
2024-03-12,08:00:00,22.34
2024-03-12,09:00:00,12.08
2024-03-12,10:00:00,12.94
2024-03-12,11:00:00,7.1
2024-03-12,12:00:00,19.75
2024-03-12,13:00:00,8.65
2024-03-12,14:00:00,16.28
2024-03-12,15:00:00,21.81
2024-03-12,16:00:00,6.78
2024-03-12,17:00:00,15.71
2024-03-12,18:00:00,9.66
2024-03-12,19:00:00,11.86
2024-03-12,20:00:00,14.48
2024-03-12,21:00:00,12.1
2024-03-12,22:00:00,17.98
2024-03-12,23:00:00,14.59
2024-03-12,00:00:00,16.68
2024-03-12,01:00:00,19.74
2024-03-12,02:00:00,16.15
2024-03-12,03:00:00,16.73
2024-03-12,04:00:00,16.29
2024-03-12,05:00:00,12.58
2024-03-12,06:00:00,11.75
2024-03-12,07:00:00,22.99
2024-03-12,08:00:00,17.15
2024-03-12,09:00:00,9.89
2024-03-12,10:00:00,14.96
2024-03-12,11:00:00,11.61
2024-03-12,12:00:00,23.67
2024-03-12,13:00:00,5.15
2024-03-12,14:00:00,9.51
2024-03-12,15:00:00,12.31
2024-03-12,16:00:00,14.76
2024-03-12,17:00:00,22.02
2024-03-12,18:00:00,6.76
2024-03-12,19:00:00,21.12
2024-03-12,20:00:00,6.11
2024-03-12,21:00:00,21.85
2024-03-12,22:00:00,6.03
2024-03-12,23:00:00,5.36
2024-03-12,00:00:00,18.94
2024-03-12,01:00:00,24.95
2024-03-12,02:00:00,22.93
2024-03-12,03:00:00,16.52
2024-03-13,00:00:00,23.35
2024-03-13,01:00:00,5.11
2024-03-13,02:00:00,24.5
2024-03-13,03:00:00,14.81
2024-03-13,04:00:00,19.46
2024-03-13,05:00:00,21.42
2024-03-13,06:00:00,19.37
2024-03-13,07:00:00,15.7
2024-03-13,08:00:00,14.53
2024-03-13,09:00:00,21.77
2024-03-13,10:00:00,9.1
2024-03-13,11:00:00,24.36
2024-03-13,12:00:00,19.22
2024-03-13,13:00:00,8.99
2024-03-13,14:00:00,19.72
2024-03-13,15:00:00,15.6
2024-03-13,16:00:00,19.14
2024-03-13,17:00:00,20.36
2024-03-13,18:00:00,6.75
2024-03-13,19:00:00,15.12
2024-03-13,20:00:00,23.64
2024-03-13,21:00:00,11.41
2024-03-13,22:00:00,16.88
2024-03-13,23:00:00,12.38
2024-03-13,00:00:00,14.09
2024-03-13,01:00:00,15.97
2024-03-13,02:00:00,15.98
2024-03-13,03:00:00,9.03
2024-03-13,04:00:00,18.69
2024-03-13,05:00:00,6.76
2024-03-13,06:00:00,7.78
2024-03-13,07:00:00,5.05
2024-03-13,08:00:00,7.33
2024-03-13,09:00:00,14.46
2024-03-13,10:00:00,17.12
2024-03-13,11:00:00,20.89
2024-03-13,12:00:00,7.13
2024-03-13,13:00:00,22.01
2024-03-13,14:00:00,19.92
2024-03-13,15:00:00,13.17
2024-03-13,16:00:00,23.66
2024-03-13,17:00:00,24.82
2024-03-13,18:00:00,9.1
2024-03-13,19:00:00,12.58
2024-03-13,20:00:00,23.53
2024-03-13,21:00:00,19.43
2024-03-13,22:00:00,5.96
2024-03-13,23:00:00,20.63
2024-03-13,00:00:00,21.56
2024-03-13,01:00:00,20.01
2024-03-13,02:00:00,20.99
2024-03-13,03:00:00,21.5
2024-03-13,04:00:00,8.73
2024-03-13,05:00:00,9.71
2024-03-13,06:00:00,17.68
2024-03-13,07:00:00,23.16
2024-03-13,08:00:00,11.32
2024-03-13,09:00:00,16.77
2024-03-13,10:00:00,18.66
2024-03-13,11:00:00,14.04
2024-03-13,12:00:00,19.28
2024-03-13,13:00:00,22.99
2024-03-13,14:00:00,17.48
2024-03-13,15:00:00,15.8
2024-03-13,16:00:00,13.77
2024-03-13,17:00:00,16.55
2024-03-13,18:00:00,12.11
2024-03-13,19:00:00,12.83
2024-03-13,20:00:00,15.64
2024-03-13,21:00:00,6.33
2024-03-13,22:00:00,9.58
2024-03-13,23:00:00,15.86
2024-03-13,00:00:00,13.63
2024-03-13,01:00:00,11.66
2024-03-13,02:00:00,19.61
2024-03-13,03:00:00,18.87
2024-03-13,04:00:00,8.33
2024-03-13,05:00:00,22.57
2024-03-13,06:00:00,14.91
2024-03-13,07:00:00,19.83
2024-03-13,08:00:00,16.46
2024-03-13,09:00:00,24.95
2024-03-13,10:00:00,20.05
2024-03-13,11:00:00,19.14
2024-03-13,12:00:00,20.57
2024-03-13,13:00:00,7.86
2024-03-13,14:00:00,9.09
2024-03-13,15:00:00,19.28
2024-03-13,16:00:00,14.88
2024-03-13,17:00:00,20.09
2024-03-13,18:00:00,7.06
2024-03-13,19:00:00,15.73
2024-03-13,20:00:00,12.58
2024-03-13,21:00:00,14.14
2024-03-13,22:00:00,17.08
2024-03-13,23:00:00,15.05
2024-03-13,00:00:00,15.8
2024-03-13,01:00:00,14.73
2024-03-13,02:00:00,13.18
2024-03-13,03:00:00,20.44
2024-03-14,00:00:00,5.24
2024-03-14,01:00:00,16.97
2024-03-14,02:00:00,16.31
2024-03-14,03:00:00,19.32
2024-03-14,04:00:00,16.98
2024-03-14,05:00:00,21.54
2024-03-14,06:00:00,24.18
2024-03-14,07:00:00,11.85
2024-03-14,08:00:00,9.55
2024-03-14,09:00:00,13.47
2024-03-14,10:00:00,10.76
2024-03-14,11:00:00,17.3
2024-03-14,12:00:00,23.24
2024-03-14,13:00:00,7.78
2024-03-14,14:00:00,7.02
2024-03-14,15:00:00,10.12
2024-03-14,16:00:00,19.52
2024-03-14,17:00:00,16.86
2024-03-14,18:00:00,7.04
2024-03-14,19:00:00,23.38
2024-03-14,20:00:00,20.8
2024-03-14,21:00:00,5.46
2024-03-14,22:00:00,18.03
2024-03-14,23:00:00,20.42
2024-03-14,00:00:00,12.49
2024-03-14,01:00:00,6.38
2024-03-14,02:00:00,6.55
2024-03-14,03:00:00,7.08
2024-03-14,04:00:00,21.81
2024-03-14,05:00:00,23.21
2024-03-14,06:00:00,7.46
2024-03-14,07:00:00,9.72
2024-03-14,08:00:00,8.31
2024-03-14,09:00:00,8.73
2024-03-14,10:00:00,21.75
2024-03-14,11:00:00,11.64
2024-03-14,12:00:00,11.23
2024-03-14,13:00:00,9.55
2024-03-14,14:00:00,17.16
2024-03-14,15:00:00,12.59
2024-03-14,16:00:00,19.88
2024-03-14,17:00:00,9.11
2024-03-14,18:00:00,20.76
2024-03-14,19:00:00,17.07
2024-03-14,20:00:00,7.29
2024-03-14,21:00:00,13.29
2024-03-14,22:00:00,22.27
2024-03-14,23:00:00,23.46
2024-03-14,00:00:00,14.31
2024-03-14,01:00:00,14.62
2024-03-14,02:00:00,23.37
2024-03-14,03:00:00,16.74
2024-03-14,04:00:00,5.66
2024-03-14,05:00:00,23.25
2024-03-14,06:00:00,9.96
2024-03-14,07:00:00,16.55
2024-03-14,08:00:00,8.31
2024-03-14,09:00:00,5.68
2024-03-14,10:00:00,11.23
2024-03-14,11:00:00,20.61
2024-03-14,12:00:00,10.55
2024-03-14,13:00:00,9.4
2024-03-14,14:00:00,9.25
2024-03-14,15:00:00,15.3
2024-03-14,16:00:00,24.51
2024-03-14,17:00:00,14.18
2024-03-14,18:00:00,16.15
2024-03-14,19:00:00,22.21
2024-03-14,20:00:00,15.7
2024-03-14,21:00:00,8.69
2024-03-14,22:00:00,10.99
2024-03-14,23:00:00,11.2
2024-03-14,00:00:00,12.95
2024-03-14,01:00:00,13.54
2024-03-14,02:00:00,21.0
2024-03-14,03:00:00,11.99
2024-03-14,04:00:00,14.36
2024-03-14,05:00:00,17.5
2024-03-14,06:00:00,12.55
2024-03-14,07:00:00,21.73
2024-03-14,08:00:00,16.75
2024-03-14,09:00:00,10.88
2024-03-14,10:00:00,19.28
2024-03-14,11:00:00,15.55
2024-03-14,12:00:00,15.69
2024-03-14,13:00:00,14.62
2024-03-14,14:00:00,14.94
2024-03-14,15:00:00,20.31
2024-03-14,16:00:00,7.06
2024-03-14,17:00:00,11.69
2024-03-14,18:00:00,6.51
2024-03-14,19:00:00,20.06
2024-03-14,20:00:00,10.45
2024-03-14,21:00:00,22.95
2024-03-14,22:00:00,15.53
2024-03-14,23:00:00,21.01
2024-03-14,00:00:00,24.58
2024-03-14,01:00:00,21.8
2024-03-14,02:00:00,22.34
2024-03-14,03:00:00,13.16
2024-03-15,00:00:00,16.03
2024-03-15,01:00:00,10.08
2024-03-15,02:00:00,8.92
2024-03-15,03:00:00,15.11
2024-03-15,04:00:00,16.9
2024-03-15,05:00:00,11.79
2024-03-15,06:00:00,16.39
2024-03-15,07:00:00,22.75
2024-03-15,08:00:00,16.13
2024-03-15,09:00:00,19.42
2024-03-15,10:00:00,21.11
2024-03-15,11:00:00,24.77
2024-03-15,12:00:00,17.06
2024-03-15,13:00:00,21.14
2024-03-15,14:00:00,24.25
2024-03-15,15:00:00,23.89
2024-03-15,16:00:00,7.82
2024-03-15,17:00:00,13.13
2024-03-15,18:00:00,11.48
2024-03-15,19:00:00,6.74
2024-03-15,20:00:00,17.66
2024-03-15,21:00:00,19.72
2024-03-15,22:00:00,21.96
2024-03-15,23:00:00,7.46
2024-03-15,00:00:00,22.53
2024-03-15,01:00:00,17.86
2024-03-15,02:00:00,19.08
2024-03-15,03:00:00,23.21
2024-03-15,04:00:00,17.5
2024-03-15,05:00:00,11.72
2024-03-15,06:00:00,21.5
2024-03-15,07:00:00,12.26
2024-03-15,08:00:00,5.68
2024-03-15,09:00:00,21.61
2024-03-15,10:00:00,11.9
2024-03-15,11:00:00,20.48
2024-03-15,12:00:00,12.26
2024-03-15,13:00:00,22.22
2024-03-15,14:00:00,9.39
2024-03-15,15:00:00,24.49
2024-03-15,16:00:00,20.6
2024-03-15,17:00:00,7.28
2024-03-15,18:00:00,16.32
2024-03-15,19:00:00,24.71
2024-03-15,20:00:00,14.42
2024-03-15,21:00:00,8.64
2024-03-15,22:00:00,14.7
2024-03-15,23:00:00,15.25
2024-03-15,00:00:00,19.83
2024-03-15,01:00:00,18.98
2024-03-15,02:00:00,13.05
2024-03-15,03:00:00,9.36
2024-03-15,04:00:00,17.9
2024-03-15,05:00:00,13.43
2024-03-15,06:00:00,7.65
2024-03-15,07:00:00,23.01
2024-03-15,08:00:00,18.82
2024-03-15,09:00:00,18.66
2024-03-15,10:00:00,21.45
2024-03-15,11:00:00,15.59
2024-03-15,12:00:00,21.3
2024-03-15,13:00:00,14.96
2024-03-15,14:00:00,6.34
2024-03-15,15:00:00,13.1
2024-03-15,16:00:00,14.95
2024-03-15,17:00:00,19.4
2024-03-15,18:00:00,7.13
2024-03-15,19:00:00,7.8
2024-03-15,20:00:00,10.27
2024-03-15,21:00:00,10.33
2024-03-15,22:00:00,19.64
2024-03-15,23:00:00,10.01
2024-03-15,00:00:00,17.66
2024-03-15,01:00:00,14.89
2024-03-15,02:00:00,16.47
2024-03-15,03:00:00,21.76
2024-03-15,04:00:00,13.09
2024-03-15,05:00:00,20.42
2024-03-15,06:00:00,13.44
2024-03-15,07:00:00,12.08
2024-03-15,08:00:00,24.17
2024-03-15,09:00:00,8.69
2024-03-15,10:00:00,6.81
2024-03-15,11:00:00,20.42
2024-03-15,12:00:00,6.36
2024-03-15,13:00:00,21.74
2024-03-15,14:00:00,13.74
2024-03-15,15:00:00,23.31
2024-03-15,16:00:00,19.43
2024-03-15,17:00:00,17.21
2024-03-15,18:00:00,23.99
2024-03-15,19:00:00,12.93
2024-03-15,20:00:00,24.08
2024-03-15,21:00:00,7.7
2024-03-15,22:00:00,14.68
2024-03-15,23:00:00,10.4
2024-03-15,00:00:00,15.8
2024-03-15,01:00:00,8.24
2024-03-15,02:00:00,21.83
2024-03-15,03:00:00,21.93
2024-03-16,00:00:00,24.1
2024-03-16,01:00:00,8.09
2024-03-16,02:00:00,17.47
2024-03-16,03:00:00,14.48
2024-03-16,04:00:00,11.89
2024-03-16,05:00:00,12.03
2024-03-16,06:00:00,13.26
2024-03-16,07:00:00,19.1
2024-03-16,08:00:00,16.97
2024-03-16,09:00:00,14.19
2024-03-16,10:00:00,6.52
2024-03-16,11:00:00,6.56
2024-03-16,12:00:00,5.05
2024-03-16,13:00:00,24.35
2024-03-16,14:00:00,5.11
2024-03-16,15:00:00,7.06
2024-03-16,16:00:00,11.29
2024-03-16,17:00:00,21.15
2024-03-16,18:00:00,24.24
2024-03-16,19:00:00,20.8
2024-03-16,20:00:00,18.81
